time,theta,omega,alpha,Kinetic energy,Potential energy,Total energy
0.000,0.100,0.000,-0.979,0.000,0.049,0.049
0.010,0.100,-0.010,-0.978,0.000,0.049,0.049
0.020,0.100,-0.020,-0.976,0.000,0.049,0.049
0.030,0.099,-0.029,-0.974,0.000,0.048,0.049
0.040,0.099,-0.039,-0.970,0.001,0.048,0.049
0.050,0.099,-0.049,-0.965,0.001,0.048,0.049
0.060,0.098,-0.058,-0.959,0.002,0.047,0.049
0.070,0.097,-0.068,-0.953,0.002,0.046,0.049
0.080,0.096,-0.078,-0.945,0.003,0.046,0.049
0.090,0.096,-0.087,-0.937,0.004,0.045,0.049
0.100,0.095,-0.096,-0.927,0.005,0.044,0.049
0.110,0.094,-0.106,-0.917,0.006,0.043,0.049
0.120,0.092,-0.115,-0.906,0.007,0.042,0.049
0.130,0.091,-0.124,-0.894,0.008,0.041,0.048
0.140,0.090,-0.133,-0.881,0.009,0.040,0.048
0.150,0.088,-0.142,-0.867,0.010,0.038,0.048
0.160,0.087,-0.150,-0.852,0.011,0.037,0.048
0.170,0.085,-0.159,-0.837,0.013,0.036,0.048
0.180,0.084,-0.167,-0.820,0.014,0.034,0.048
0.190,0.082,-0.175,-0.803,0.015,0.033,0.048
0.200,0.080,-0.183,-0.785,0.017,0.032,0.048
0.210,0.078,-0.191,-0.766,0.018,0.030,0.048
0.220,0.076,-0.199,-0.747,0.020,0.029,0.048
0.230,0.074,-0.206,-0.727,0.021,0.027,0.048
0.240,0.072,-0.214,-0.706,0.023,0.025,0.048
0.250,0.070,-0.221,-0.684,0.024,0.024,0.048
0.260,0.068,-0.228,-0.662,0.026,0.022,0.048
0.270,0.065,-0.234,-0.639,0.027,0.021,0.048
0.280,0.063,-0.241,-0.616,0.029,0.019,0.048
0.290,0.060,-0.247,-0.591,0.030,0.018,0.048
0.300,0.058,-0.253,-0.567,0.032,0.016,0.048
0.310,0.055,-0.258,-0.541,0.033,0.015,0.048
0.320,0.053,-0.264,-0.516,0.035,0.014,0.048
0.330,0.050,-0.269,-0.489,0.036,0.012,0.048
0.340,0.047,-0.274,-0.462,0.037,0.011,0.048
0.350,0.044,-0.278,-0.435,0.039,0.010,0.048
0.360,0.042,-0.283,-0.407,0.040,0.008,0.048
0.370,0.039,-0.287,-0.379,0.041,0.007,0.048
0.380,0.036,-0.291,-0.351,0.042,0.006,0.049
0.390,0.033,-0.294,-0.322,0.043,0.005,0.049
0.400,0.030,-0.297,-0.293,0.044,0.004,0.049
0.410,0.027,-0.300,-0.263,0.045,0.004,0.049
0.420,0.024,-0.303,-0.234,0.046,0.003,0.049
0.430,0.021,-0.305,-0.204,0.047,0.002,0.049
0.440,0.018,-0.307,-0.174,0.047,0.002,0.049
0.450,0.015,-0.309,-0.143,0.048,0.001,0.049
0.460,0.012,-0.310,-0.113,0.048,0.001,0.049
0.470,0.008,-0.312,-0.082,0.049,0.000,0.049
0.480,0.005,-0.312,-0.052,0.049,0.000,0.049
0.490,0.002,-0.313,-0.021,0.049,0.000,0.049
0.500,-0.001,-0.313,0.010,0.049,0.000,0.049
0.510,-0.004,-0.313,0.041,0.049,0.000,0.049
0.520,-0.007,-0.313,0.071,0.049,0.000,0.049
0.530,-0.010,-0.312,0.102,0.049,0.001,0.049
0.540,-0.013,-0.311,0.132,0.048,0.001,0.049
0.550,-0.017,-0.310,0.163,0.048,0.001,0.049
0.560,-0.020,-0.308,0.193,0.047,0.002,0.049
0.570,-0.023,-0.306,0.223,0.047,0.003,0.049
0.580,-0.026,-0.304,0.253,0.046,0.003,0.049
0.590,-0.029,-0.301,0.282,0.045,0.004,0.049
0.600,-0.032,-0.298,0.311,0.045,0.005,0.049
0.610,-0.035,-0.295,0.340,0.044,0.006,0.050
0.620,-0.038,-0.292,0.369,0.043,0.007,0.050
0.630,-0.041,-0.288,0.397,0.042,0.008,0.050
0.640,-0.043,-0.284,0.425,0.040,0.009,0.050
0.650,-0.046,-0.280,0.453,0.039,0.010,0.050
0.660,-0.049,-0.275,0.480,0.038,0.012,0.050
0.670,-0.052,-0.271,0.506,0.037,0.013,0.050
0.680,-0.054,-0.266,0.532,0.035,0.014,0.050
0.690,-0.057,-0.260,0.558,0.034,0.016,0.050
0.700,-0.059,-0.255,0.583,0.032,0.017,0.050
0.710,-0.062,-0.249,0.607,0.031,0.019,0.050
0.720,-0.064,-0.243,0.631,0.029,0.020,0.050
0.730,-0.067,-0.237,0.654,0.028,0.022,0.050
0.740,-0.069,-0.230,0.676,0.026,0.023,0.050
0.750,-0.071,-0.223,0.698,0.025,0.025,0.050
0.760,-0.073,-0.216,0.719,0.023,0.026,0.050
0.770,-0.075,-0.209,0.740,0.022,0.028,0.050
0.780,-0.077,-0.202,0.760,0.020,0.029,0.050
0.790,-0.079,-0.194,0.778,0.019,0.031,0.050
0.800,-0.081,-0.186,0.797,0.017,0.032,0.050
0.810,-0.083,-0.178,0.814,0.016,0.034,0.050
0.820,-0.085,-0.170,0.831,0.014,0.035,0.050
0.830,-0.086,-0.162,0.847,0.013,0.037,0.050
0.840,-0.088,-0.153,0.862,0.012,0.038,0.050
0.850,-0.089,-0.145,0.876,0.010,0.039,0.050
0.860,-0.091,-0.136,0.889,0.009,0.040,0.050
0.870,-0.092,-0.127,0.901,0.008,0.042,0.050
0.880,-0.093,-0.118,0.913,0.007,0.043,0.050
0.890,-0.094,-0.109,0.924,0.006,0.044,0.050
0.900,-0.095,-0.100,0.933,0.005,0.045,0.050
0.910,-0.096,-0.090,0.942,0.004,0.045,0.049
0.920,-0.097,-0.081,0.950,0.003,0.046,0.049
0.930,-0.098,-0.071,0.957,0.003,0.047,0.049
0.940,-0.098,-0.062,0.963,0.002,0.047,0.049
0.950,-0.099,-0.052,0.968,0.001,0.048,0.049
0.960,-0.099,-0.043,0.972,0.001,0.048,0.049
0.970,-0.100,-0.033,0.976,0.001,0.049,0.049
0.980,-0.100,-0.023,0.978,0.000,0.049,0.049
0.990,-0.100,-0.013,0.979,0.000,0.049,0.049
1.000,-0.100,-0.004,0.979,0.000,0.049,0.049
1.010,-0.100,0.006,0.979,0.000,0.049,0.049
1.020,-0.100,0.016,0.977,0.000,0.049,0.049
1.030,-0.100,0.026,0.975,0.000,0.049,0.049
1.040,-0.099,0.036,0.971,0.001,0.048,0.049
1.050,-0.099,0.045,0.967,0.001,0.048,0.049
1.060,-0.098,0.055,0.962,0.002,0.047,0.049
1.070,-0.098,0.065,0.955,0.002,0.047,0.049
1.080,-0.097,0.074,0.948,0.003,0.046,0.049
1.090,-0.096,0.084,0.940,0.003,0.045,0.049
1.100,-0.095,0.093,0.931,0.004,0.044,0.049
1.110,-0.094,0.102,0.921,0.005,0.043,0.049
1.120,-0.093,0.112,0.910,0.006,0.042,0.049
1.130,-0.092,0.121,0.898,0.007,0.041,0.049
1.140,-0.090,0.130,0.885,0.008,0.040,0.048
1.150,-0.089,0.138,0.872,0.010,0.039,0.048
1.160,-0.088,0.147,0.858,0.011,0.038,0.048
1.170,-0.086,0.156,0.842,0.012,0.036,0.048
1.180,-0.084,0.164,0.826,0.013,0.035,0.048
1.190,-0.083,0.172,0.809,0.015,0.033,0.048
1.200,-0.081,0.181,0.792,0.016,0.032,0.048
1.210,-0.079,0.188,0.773,0.018,0.031,0.048
1.220,-0.077,0.196,0.754,0.019,0.029,0.048
1.230,-0.075,0.204,0.734,0.021,0.028,0.048
1.240,-0.073,0.211,0.714,0.022,0.026,0.048
1.250,-0.071,0.218,0.692,0.024,0.024,0.048
1.260,-0.068,0.225,0.670,0.025,0.023,0.048
1.270,-0.066,0.232,0.648,0.027,0.021,0.048
1.280,-0.064,0.238,0.624,0.028,0.020,0.048
1.290,-0.061,0.245,0.600,0.030,0.018,0.048
1.300,-0.059,0.251,0.576,0.031,0.017,0.048
1.310,-0.056,0.256,0.551,0.033,0.015,0.048
1.320,-0.054,0.262,0.525,0.034,0.014,0.048
1.330,-0.051,0.267,0.499,0.036,0.013,0.048
1.340,-0.048,0.272,0.472,0.037,0.011,0.048
1.350,-0.045,0.277,0.445,0.038,0.010,0.048
1.360,-0.043,0.281,0.417,0.040,0.009,0.048
1.370,-0.040,0.285,0.390,0.041,0.008,0.048
1.380,-0.037,0.289,0.361,0.042,0.007,0.048
1.390,-0.034,0.293,0.332,0.043,0.006,0.049
1.400,-0.031,0.296,0.303,0.044,0.005,0.049
1.410,-0.028,0.299,0.274,0.045,0.004,0.049
1.420,-0.025,0.302,0.244,0.046,0.003,0.049
1.430,-0.022,0.304,0.215,0.046,0.002,0.049
1.440,-0.019,0.307,0.185,0.047,0.002,0.049
1.450,-0.016,0.308,0.154,0.048,0.001,0.049
1.460,-0.013,0.310,0.124,0.048,0.001,0.049
1.470,-0.010,0.311,0.093,0.048,0.000,0.049
1.480,-0.006,0.312,0.063,0.049,0.000,0.049
1.490,-0.003,0.313,0.032,0.049,0.000,0.049
1.500,-0.000,0.313,0.001,0.049,0.000,0.049
1.510,0.003,0.313,-0.029,0.049,0.000,0.049
1.520,0.006,0.313,-0.060,0.049,0.000,0.049
1.530,0.009,0.312,-0.091,0.049,0.000,0.049
1.540,0.012,0.311,-0.121,0.048,0.001,0.049
1.550,0.015,0.310,-0.152,0.048,0.001,0.049
1.560,0.019,0.309,-0.182,0.048,0.002,0.049
1.570,0.022,0.307,-0.212,0.047,0.002,0.049
1.580,0.025,0.305,-0.242,0.046,0.003,0.049
1.590,0.028,0.302,-0.272,0.046,0.004,0.049
1.600,0.031,0.299,-0.301,0.045,0.005,0.049
1.610,0.034,0.296,-0.330,0.044,0.006,0.050
1.620,0.037,0.293,-0.359,0.043,0.007,0.050
1.630,0.039,0.290,-0.387,0.042,0.008,0.050
1.640,0.042,0.286,-0.415,0.041,0.009,0.050
1.650,0.045,0.282,-0.443,0.040,0.010,0.050
1.660,0.048,0.277,-0.470,0.038,0.011,0.050
1.670,0.051,0.272,-0.497,0.037,0.013,0.050
1.680,0.053,0.267,-0.523,0.036,0.014,0.050
1.690,0.056,0.262,-0.548,0.034,0.015,0.050
1.700,0.059,0.257,-0.574,0.033,0.017,0.050
1.710,0.061,0.251,-0.598,0.032,0.018,0.050
1.720,0.063,0.245,-0.622,0.030,0.020,0.050
1.730,0.066,0.239,-0.646,0.029,0.021,0.050
1.740,0.068,0.232,-0.668,0.027,0.023,0.050
1.750,0.070,0.226,-0.690,0.025,0.024,0.050
1.760,0.073,0.219,-0.712,0.024,0.026,0.050
1.770,0.075,0.212,-0.732,0.022,0.027,0.050
1.780,0.077,0.204,-0.752,0.021,0.029,0.050
1.790,0.079,0.197,-0.772,0.019,0.030,0.050
1.800,0.081,0.189,-0.790,0.018,0.032,0.050
